scenario,question,sj_name,radioGroupName
1,1,pair75#pair39#pair91#pair88#pair94#pair64#pair6#pair79#pair85#pair15,1
1,1,pair2#pair40#pair18#pair61#pair89#pair31#pair86#pair55#pair1#pair87,1
1,1,pair13#pair96#pair92#pair25#pair19#pair71#pair33#pair59#pair30#pair98,1
1,1,pair50#pair48#pair26#pair16#pair38#pair47#pair41#pair78#pair70#pair77,1
1,1,pair17#pair76#pair3#pair12#pair29#pair21#pair68#pair27#pair32#pair45,1
1,1,pair37#pair23#pair80#pair4#pair82#pair14#pair90#pair63#pair57#pair43,1
1,1,pair69#pair11#pair44#pair62#pair20#pair22#pair28#pair34#pair58#pair10,1
1,1,pair83#pair36#pair5#pair67#pair65#pair35#pair74#pair49#pair54#pair84,1
1,1,pair42#pair95#pair53#pair66#pair51#pair56#pair46#pair97#pair99#pair93,1
1,1,pair60#pair24#pair81#pair52#pair73#pair9#pair72#pair7#pair8,1
