scenario,question,sj_name,radioGroupName
1,1,pair2104#pair1412#pair459#pair1682#pair2465#pair228#pair1802#pair567#pair2876#pair1105,1
1,1,pair1164#pair2461#pair433#pair1339#pair2647#pair1878#pair274#pair2706#pair1264#pair250,1
1,1,pair1233#pair1455#pair883#pair96#pair1098#pair2724#pair1933#pair1300#pair2600#pair2584,1
1,1,pair2766#pair1342#pair611#pair1683#pair2899#pair2616#pair714#pair1791#pair1453#pair2768,1
1,1,pair833#pair2362#pair2920#pair1602#pair751#pair1261#pair964#pair2084#pair1446#pair1552,1
1,1,pair1274#pair1380#pair2734#pair252#pair185#pair1669#pair589#pair1932#pair1921#pair1832,1
1,1,pair1240#pair2919#pair1363#pair2678#pair1381#pair2669#pair466#pair1437#pair1590#pair263,1
1,1,pair2434#pair2880#pair1814#pair2555#pair511#pair555#pair1444#pair244#pair2984#pair2123,1
1,1,pair2707#pair3079#pair1382#pair406#pair755#pair2841#pair1301#pair2788#pair954#pair324,1
1,1,pair2523#pair2562#pair590#pair734#pair629#pair2760#pair1194#pair2462#pair2668#pair2147,1
