scenario,question,sj_name,vs_name,radioGroupName
1,1,pair11#pair15#pair19#pair5#pair16#pair3#pair2#pair6#pair10#pair13,difareli++-vs-hou22_geom#difareli++-vs-ic_light#difareli++-vs-diffusionrig#difareli++-vs-relipa#difareli++-vs-hou22_geom#difareli++-vs-diffusionrig#difareli++-vs-ic_light#difareli++-vs-relipa#difareli++-vs-relipa#difareli++-vs-hou22_geom,1
1,1,pair14#pair12#pair18#pair1#pair4#pair17#pair9#pair20#pair7#pair8,difareli++-vs-diffusionrig#difareli++-vs-relipa#difareli++-vs-hou21_shadowm#difareli++-vs-relipa#difareli++-vs-relipa#difareli++-vs-hou22_geom#difareli++-vs-diffusionrig#difareli++-vs-relipa#difareli++-vs-diffusionrig#difareli++-vs-hou22_geom,1
1,1,pair18#pair20#pair3#pair4#pair11#pair6#pair17#pair15#pair10#pair13,difareli++-vs-ic_light#difareli++-vs-diffusionrig#difareli++-vs-hou21_shadowm#difareli++-vs-hou21_shadowm#difareli++-vs-ic_light#difareli++-vs-diffusionrig#difareli++-vs-ic_light#difareli++-vs-diffusionrig#difareli++-vs-hou21_shadowm#difareli++-vs-relipa,1
1,1,pair16#pair2#pair9#pair19#pair12#pair8#pair7#pair14#pair5#pair1,difareli++-vs-ic_light#difareli++-vs-diffusionrig#difareli++-vs-hou21_shadowm#difareli++-vs-ic_light#difareli++-vs-hou22_geom#difareli++-vs-hou21_shadowm#difareli++-vs-hou21_shadowm#difareli++-vs-ic_light#difareli++-vs-ic_light#difareli++-vs-diffusionrig,1
1,1,pair18#pair20#pair15#pair16#pair12#pair4#pair3#pair5#pair10#pair14,difareli++-vs-diffusionrig#difareli++-vs-ic_light#difareli++-vs-relipa#difareli++-vs-relipa#difareli++-vs-ic_light#difareli++-vs-hou22_geom#difareli++-vs-hou22_geom#difareli++-vs-diffusionrig#difareli++-vs-diffusionrig#difareli++-vs-hou21_shadowm,1
1,1,pair6#pair2#pair13#pair19#pair17#pair9#pair8#pair1#pair7#pair11,difareli++-vs-ic_light#difareli++-vs-relipa#difareli++-vs-hou21_shadowm#difareli++-vs-relipa#difareli++-vs-relipa#difareli++-vs-relipa#difareli++-vs-ic_light#difareli++-vs-hou22_geom#difareli++-vs-ic_light#difareli++-vs-hou21_shadowm,1
1,1,pair4#pair1#pair6#pair8#pair13#pair9#pair15#pair14#pair19#pair17,difareli++-vs-ic_light#difareli++-vs-hou21_shadowm#difareli++-vs-hou22_geom#difareli++-vs-diffusionrig#difareli++-vs-diffusionrig#difareli++-vs-hou22_geom#difareli++-vs-hou21_shadowm#difareli++-vs-hou22_geom#difareli++-vs-hou21_shadowm#difareli++-vs-hou21_shadowm,1
1,1,pair10#pair18#pair20#pair12#pair11#pair3#pair7#pair5#pair2#pair16,difareli++-vs-ic_light#difareli++-vs-relipa#difareli++-vs-hou22_geom#difareli++-vs-diffusionrig#difareli++-vs-diffusionrig#difareli++-vs-relipa#difareli++-vs-hou22_geom#difareli++-vs-hou22_geom#difareli++-vs-hou21_shadowm#difareli++-vs-diffusionrig,1
1,1,pair1#pair6#pair5#pair4#pair19#pair3#pair12#pair9#pair14#pair8,difareli++-vs-ic_light#difareli++-vs-hou21_shadowm#difareli++-vs-hou21_shadowm#difareli++-vs-diffusionrig#difareli++-vs-hou22_geom#difareli++-vs-ic_light#difareli++-vs-hou21_shadowm#difareli++-vs-ic_light#difareli++-vs-relipa#difareli++-vs-relipa,1
1,1,pair20#pair2#pair17#pair16#pair10#pair11#pair18#pair13#pair15#pair7,difareli++-vs-hou21_shadowm#difareli++-vs-hou22_geom#difareli++-vs-diffusionrig#difareli++-vs-hou21_shadowm#difareli++-vs-hou22_geom#difareli++-vs-relipa#difareli++-vs-hou22_geom#difareli++-vs-ic_light#difareli++-vs-hou22_geom#difareli++-vs-relipa,1
