scenario,question,sj_name,radioGroupName
1,1,pair2376#pair629#pair776#pair1195#pair95,1
1,1,pair1274#pair269#pair824#pair1552#pair1446,1
1,1,pair2633#pair551#pair1802#pair1165#pair579,1
1,1,pair2707#pair1933#pair2874#pair499#pair2730,1
1,1,pair1822#pair692#pair2136#pair2201#pair1342,1
1,1,pair83#pair2120#pair1118#pair284#pair2807,1
1,1,pair2771#pair2801#pair263#pair697#pair885,1
1,1,pair1514#pair280#pair1180#pair725#pair1473,1
1,1,pair675#pair3050#pair3059#pair1596#pair1962,1
1,1,pair2609#pair248#pair2888#pair2969#pair2279,1
1,1,pair2788#pair213#pair2038#pair1609#pair1959,1
1,1,pair1339#pair1148#pair264#pair2628#pair1682,1
1,1,pair224#pair431#pair2734#pair1331#pair2940,1
1,1,pair444#pair1160#pair2895#pair1791#pair964,1
1,1,pair406#pair2316#pair1804#pair1300#pair2669,1
1,1,pair1844#pair1770#pair823#pair2880#pair1621,1
1,1,pair2084#pair511#pair2717#pair2032#pair986,1
1,1,pair1105#pair2748#pair1301#pair2562#pair1648,1
1,1,pair855#pair1069#pair2233#pair2678#pair1751,1
1,1,pair1214#pair370#pair2067#pair2919#pair1907,1
1,1,pair1832#pair734#pair1753#pair2461#pair2668,1
1,1,pair1098#pair1363#pair3026#pair2334#pair1264,1
1,1,pair2434#pair1194#pair1261#pair137#pair381,1
1,1,pair1437#pair949#pair711#pair566#pair1240,1
1,1,pair2769#pair466#pair797#pair241#pair2147,1
1,1,pair590#pair2899#pair669#pair2705#pair2584,1
1,1,pair2997#pair1162#pair567#pair2724#pair2777,1
1,1,pair1126#pair1380#pair1787#pair324#pair1220,1
1,1,pair1635#pair886#pair928#pair206#pair2070,1
1,1,pair228#pair2077#pair250#pair2293#pair2760,1
1,1,pair252#pair1820#pair1479#pair185#pair2979,1
1,1,pair1954#pair2649#pair3032#pair1688#pair563,1
1,1,pair1980#pair1863#pair3079#pair368#pair731,1
1,1,pair2984#pair1431#pair1623#pair614#pair833,1
1,1,pair1001#pair1427#pair2723#pair2917#pair2114,1
1,1,pair2099#pair2540#pair1602#pair1849#pair225,1
1,1,pair114#pair1683#pair1866#pair3077#pair1159,1
1,1,pair1932#pair2462#pair2851#pair2370#pair179,1
1,1,pair1927#pair67#pair1870#pair1210#pair1381,1
1,1,pair2280#pair2546#pair229#pair1444#pair1412,1
1,1,pair3001#pair38#pair1315#pair1982#pair1230,1
1,1,pair2362#pair162#pair457#pair2419#pair666,1
1,1,pair91#pair2720#pair589#pair555#pair2588,1
1,1,pair2768#pair2555#pair433#pair961#pair244,1
1,1,pair1027#pair2104#pair1404#pair2216#pair178,1
1,1,pair748#pair2183#pair1186#pair1964#pair2920,1
1,1,pair2043#pair202#pair2158#pair1071#pair2903,1
1,1,pair749#pair1526#pair2706#pair554#pair799,1
1,1,pair1616#pair2230#pair1978#pair2695#pair1868,1
1,1,pair2415#pair1487#pair868#pair2185#pair1164,1
1,1,pair1878#pair1669#pair2616#pair380#pair1757,1
1,1,pair2386#pair2264#pair1175#pair287#pair2031,1
1,1,pair2311#pair2123#pair419#pair2841#pair2465,1
1,1,pair2122#pair1966#pair485#pair755#pair2523,1
1,1,pair1453#pair1188#pair2897#pair2600#pair199,1
1,1,pair883#pair1416#pair1259#pair308#pair2373,1
1,1,pair426#pair916#pair397#pair751#pair1636,1
1,1,pair2876#pair2550#pair355#pair1382#pair1921,1
1,1,pair2248#pair78#pair274#pair1902#pair610,1
1,1,pair459#pair1455#pair1590#pair235#pair1814,1
