scenario,question,sj_name,radioGroupName
1,1,pair541#pair911#pair868#pair767#pair693,1
1,1,pair646#pair762#pair148#pair181#pair568,1
1,1,pair735#pair560#pair209#pair783#pair538,1
1,1,pair789#pair880#pair523#pair261#pair918,1
1,1,pair466#pair805#pair71#pair28#pair77,1
1,1,pair144#pair62#pair422#pair252#pair703,1
1,1,pair543#pair239#pair522#pair445#pair355,1
1,1,pair734#pair129#pair889#pair194#pair177,1
1,1,pair824#pair731#pair787#pair711#pair766,1
1,1,pair333#pair682#pair607#pair973#pair247,1
1,1,pair882#pair836#pair362#pair746#pair432,1
1,1,pair589#pair850#pair649#pair922#pair389,1
1,1,pair858#pair651#pair253#pair204#pair414,1
1,1,pair106#pair226#pair130#pair842#pair463,1
1,1,pair761#pair284#pair997#pair207#pair488,1
1,1,pair26#pair405#pair294#pair549#pair265,1
1,1,pair863#pair506#pair897#pair182#pair575,1
1,1,pair615#pair828#pair122#pair694#pair705,1
1,1,pair332#pair270#pair742#pair952#pair982,1
1,1,pair953#pair958#pair178#pair186#pair384,1
1,1,pair484#pair758#pair599#pair257#pair317,1
1,1,pair269#pair1000#pair249#pair551#pair754,1
1,1,pair847#pair637#pair49#pair152#pair518,1
1,1,pair155#pair99#pair351#pair440#pair5,1
1,1,pair112#pair886#pair726#pair196#pair600,1
1,1,pair581#pair324#pair80#pair329#pair944,1
1,1,pair947#pair476#pair266#pair967#pair852,1
1,1,pair520#pair244#pair896#pair480#pair976,1
1,1,pair727#pair878#pair756#pair975#pair702,1
1,1,pair113#pair240#pair85#pair681#pair378,1
1,1,pair327#pair415#pair128#pair772#pair87,1
1,1,pair796#pair305#pair665#pair462#pair504,1
1,1,pair517#pair437#pair472#pair301#pair363,1
1,1,pair851#pair623#pair595#pair738#pair556,1
1,1,pair195#pair946#pair653#pair627#pair667,1
1,1,pair25#pair642#pair255#pair798#pair421,1
1,1,pair185#pair718#pair150#pair674#pair101,1
1,1,pair860#pair474#pair79#pair197#pair572,1
1,1,pair593#pair190#pair870#pair555#pair636,1
1,1,pair573#pair167#pair180#pair917#pair610,1
1,1,pair793#pair241#pair808#pair273#pair381,1
1,1,pair232#pair680#pair751#pair208#pair44,1
1,1,pair899#pair587#pair781#pair404#pair483,1
1,1,pair626#pair322#pair603#pair763#pair583,1
1,1,pair192#pair802#pair871#pair650#pair48,1
1,1,pair303#pair116#pair300#pair108#pair529,1
1,1,pair915#pair981#pair21#pair913#pair175,1
1,1,pair73#pair268#pair881#pair469#pair862,1
1,1,pair807#pair729#pair17#pair412#pair402,1
1,1,pair147#pair481#pair633#pair784#pair306,1
1,1,pair211#pair189#pair688#pair846#pair429,1
1,1,pair22#pair559#pair914#pair940#pair212,1
1,1,pair959#pair436#pair493#pair292#pair464,1
1,1,pair706#pair938#pair759#pair578#pair654,1
1,1,pair961#pair872#pair229#pair584#pair311,1
1,1,pair931#pair90#pair561#pair390#pair884,1
1,1,pair417#pair385#pair920#pair446#pair288,1
1,1,pair544#pair669#pair452#pair89#pair743,1
1,1,pair980#pair214#pair923#pair934#pair801,1
1,1,pair532#pair120#pair901#pair338#pair339,1
1,1,pair567#pair86#pair364#pair427#pair998,1
1,1,pair124#pair465#pair696#pair936#pair658,1
1,1,pair47#pair508#pair53#pair283#pair968,1
1,1,pair121#pair996#pair753#pair310#pair874,1
1,1,pair679#pair954#pair31#pair400#pair971,1
1,1,pair984#pair206#pair701#pair159#pair932,1
1,1,pair644#pair577#pair184#pair602#pair502,1
1,1,pair708#pair413#pair778#pair548#pair937,1
1,1,pair168#pair219#pair231#pair166#pair289,1
1,1,pair741#pair272#pair235#pair157#pair238,1
1,1,pair343#pair88#pair528#pair809#pair373,1
1,1,pair547#pair795#pair295#pair777#pair418,1
1,1,pair676#pair928#pair308#pair907#pair788,1
1,1,pair500#pair383#pair486#pair666#pair94,1
1,1,pair210#pair888#pair312#pair349#pair32,1
1,1,pair698#pair187#pair580#pair262#pair990,1
1,1,pair986#pair217#pair969#pair456#pair55,1
1,1,pair260#pair2#pair725#pair782#pair259,1
1,1,pair344#pair200#pair69#pair770#pair510,1
1,1,pair396#pair271#pair213#pair989#pair251,1
1,1,pair494#pair173#pair335#pair117#pair459,1
1,1,pair61#pair169#pair921#pair416#pair903,1
1,1,pair919#pair513#pair224#pair933#pair34,1
1,1,pair885#pair546#pair785#pair950#pair794,1
1,1,pair320#pair302#pair776#pair605#pair621,1
1,1,pair81#pair571#pair174#pair855#pair285,1
1,1,pair895#pair827#pair323#pair592#pair545,1
1,1,pair439#pair451#pair972#pair293#pair883,1
1,1,pair841#pair988#pair411#pair114#pair877,1
1,1,pair634#pair765#pair15#pair54#pair687,1
1,1,pair370#pair612#pair93#pair804#pair900,1
1,1,pair503#pair134#pair450#pair704#pair834,1
1,1,pair318#pair179#pair365#pair924#pair340,1
1,1,pair826#pair236#pair346#pair367#pair315,1
1,1,pair393#pair697#pair491#pair461#pair737,1
1,1,pair956#pair371#pair995#pair24#pair630,1
1,1,pair733#pair668#pair611#pair609#pair9,1
1,1,pair70#pair105#pair507#pair912#pair849,1
1,1,pair291#pair501#pair36#pair154#pair745,1
1,1,pair527#pair991#pair930#pair955#pair352,1
1,1,pair222#pair431#pair606#pair721#pair23,1
1,1,pair131#pair424#pair497#pair449#pair672,1
1,1,pair535#pair183#pair935#pair334#pair700,1
1,1,pair869#pair132#pair60#pair438#pair10,1
1,1,pair354#pair135#pair620#pair254#pair498,1
1,1,pair156#pair304#pair277#pair876#pair52,1
1,1,pair377#pair435#pair153#pair890#pair203,1
1,1,pair631#pair616#pair172#pair891#pair909,1
1,1,pair170#pair278#pair806#pair962#pair716,1
