scenario,question,sj_name,radioGroupName
1,1,pair906#pair306#pair2266#pair898#pair1581#pair1284#pair2967#pair2729#pair2869#pair2976,1
1,1,pair588#pair1122#pair2656#pair1117#pair1865#pair76#pair2472#pair2891#pair2712#pair2581,1
1,1,pair231#pair8#pair2219#pair2143#pair1312#pair3040#pair2040#pair2767#pair2529#pair2133,1
1,1,pair1123#pair1#pair1893#pair188#pair2460#pair1389#pair989#pair730#pair260#pair399,1
1,1,pair2657#pair1980#pair307#pair2260#pair1316#pair563#pair747#pair2980#pair596#pair2544,1
1,1,pair2680#pair1570#pair799#pair53#pair2727#pair1631#pair36#pair1993#pair1460#pair787,1
1,1,pair2799#pair2417#pair394#pair2996#pair1660#pair1889#pair2986#pair2103#pair2346#pair2210,1
1,1,pair489#pair2144#pair414#pair754#pair2610#pair1351#pair2617#pair1717#pair411#pair2541,1
1,1,pair351#pair507#pair1671#pair2629#pair435#pair2387#pair2626#pair1050#pair1027#pair2900,1
1,1,pair1372#pair2850#pair2011#pair2120#pair841#pair181#pair2597#pair420#pair69#pair74,1
