scenario,question,sj_name,radioGroupName
1,1,pair1096#pair2757#pair2194#pair2864#pair177#pair768#pair1137#pair1431#pair1902#pair1159,1
1,1,pair483#pair1758#pair1173#pair419#pair696#pair2279#pair2118#pair1513#pair561#pair1251,1
1,1,pair192#pair1248#pair1807#pair1329#pair1608#pair509#pair1519#pair1270#pair860#pair280,1
1,1,pair2426#pair2624#pair1288#pair1489#pair2150#pair1073#pair2456#pair2855#pair1770#pair1205,1
1,1,pair1029#pair1992#pair952#pair3024#pair1168#pair1766#pair1726#pair2086#pair650#pair1323,1
1,1,pair2049#pair1693#pair2087#pair1397#pair908#pair1591#pair1930#pair1368#pair397#pair2539,1
1,1,pair998#pair2770#pair1125#pair17#pair823#pair2499#pair2449#pair2108#pair1834#pair2778,1
1,1,pair1931#pair1145#pair917#pair2490#pair496#pair1289#pair1191#pair1532#pair227#pair2306,1
1,1,pair445#pair1430#pair2625#pair1076#pair2296#pair1512#pair2582#pair2750#pair928#pair1276,1
1,1,pair514#pair1435#pair2174#pair2885#pair559#pair2534#pair902#pair190#pair2298#pair2052,1
